Pair,Delta_Electrode1,Theta_Electrode1,Alpha_Electrode1,Beta_Electrode1,Gamma_Electrode1,Delta_Electrode2,Theta_Electrode2,Alpha_Electrode2,Beta_Electrode2,Gamma_Electrode2,Delta_Electrode3,Theta_Electrode3,Alpha_Electrode3,Beta_Electrode3,Gamma_Electrode3,Delta_Electrode4,Theta_Electrode4,Alpha_Electrode4,Beta_Electrode4,Gamma_Electrode4,Delta_Electrode5,Theta_Electrode5,Alpha_Electrode5,Beta_Electrode5,Gamma_Electrode5,Delta_Electrode6,Theta_Electrode6,Alpha_Electrode6,Beta_Electrode6,Gamma_Electrode6,Delta_Electrode7,Theta_Electrode7,Alpha_Electrode7,Beta_Electrode7,Gamma_Electrode7,Delta_Electrode8,Theta_Electrode8,Alpha_Electrode8,Beta_Electrode8,Gamma_Electrode8
pair 2,0.0270695232621463,-0.025970632841519,-0.0200207967035775,0.0136787693732255,-0.53524629674207,0.0436636383561217,-0.0275090743097526,0.0262592369295044,0.0137263144730706,0.180335882542395,0.030880656931928,0.0093301903493052,0.0509174548891641,-0.0019334046641523,-0.215267777835816,0.0252346480442027,-0.0169608487999855,0.015191817838937,0.015361824234504,-0.626298136748339,0.017985182257414,-0.0296347479680697,0.0119649291867855,0.0205583074245057,-0.460359557139711,0.0154186213247612,-0.0203854179556747,0.0118424740471913,0.0082540990483533,-0.715072721654242,0.0333404983715667,-0.0103298726752943,0.0211707709303662,0.0120576361284403,-0.0983451252905539,0.0047277686235297,-0.01371687623983,0.0215912566194991,0.0116457513852948,-0.1575103341932
pair 3,-0.0049807022385296,-0.0226768881521834,0.0079717618571832,0.005685754930516,0.81408767433253,0.0198877379761712,0.0158591662739072,0.0241940980352395,0.0118461330270879,0.785308024952139,-0.0151327835543246,-0.010369924608967,-0.0232635293077571,-0.0089779252565851,0.617094675340533,0.0028782564469523,-0.0355084171872839,0.0142912120140873,-0.0136067799994881,0.829257902061781,0.0061537255183217,-0.0105253319779282,0.0282521073016822,0.0062108774317107,0.631987446707894,0.0168431962505024,-0.0009961084930466,0.0330194221550364,0.016148060936526,0.741412259306086,0.0121293690424933,-0.0169006670092708,0.0172749858087556,0.0043825464854396,0.738927116397376,-0.0106301254070287,-0.0102405442649732,0.0304523278367565,0.0079484544413267,0.836733556534244
pair 4,-0.0034543887316863,0.0503410352993513,-0.0329325863286232,-0.0127096211775086,-0.0138942094340273,0.034054329005544,0.044964003484264,-0.0085229035341824,-0.0158073192029561,0.140707798121106,0.0189598627153138,0.0759388477609174,-0.0433585250485002,0.0040831378062359,0.1716118816771,0.0046953008607885,0.052715870334829,-0.0437783476607484,-0.0120093949982022,-0.0564204901774601,-0.0075357753746268,0.055661075245577,-0.018617826263858,-0.0138884210403131,-0.448063459969399,-0.019612038071458,0.0515472434380415,0.0116706675114867,-0.0168156016673914,0.496710139703494,-0.006310330794349,0.0490952797330721,-0.0383609894827279,-0.0138956144134206,0.0071696379213943,-0.0162673169023596,0.0312343889740007,-0.0067802910133879,-0.0176573709934975,-0.256961674178075
pair 5,-0.0903912445083501,0.0039339693507839,0.007768319618101,0.0295732623659909,0.0382153284750766,-0.0975076922220075,-0.001069133304721,0.0070829293165141,0.0222265426658061,0.0727915137117523,-0.0373533521940967,-0.0095727321965837,-0.0125681411777547,0.0073603812928598,-0.0021996966147064,-0.0589103375972787,-0.0095130291666886,0.0010122839889213,0.0220653042817977,0.0168591250244496,-0.0400842231160698,-0.0091520050760639,0.0143064807791735,0.0236178844903701,0.0506799990711688,-0.0717521622722604,-0.0073460303314008,0.0190918696741822,0.0177955371063069,0.128174661906148,-0.0400686237565097,-0.0099872031279536,0.0207669609245217,0.0112988304109782,0.0238544591618101,-0.033920915037678,-0.0243992038061483,0.035849632903805,0.0104622419979268,0.0895836734667105
pair 6,-0.076141385401664,0.016634078623495,-0.0045772650485059,0.0185261594534172,0.231688564992615,-0.0113419726777366,0.0451243995152618,-0.0224071661898597,0.0213305511217495,0.172136626417371,-0.0586091531991296,0.0738540715158911,-0.0024056921364897,0.0351860676287279,0.0855827082043636,-0.0990137886523264,0.0172950877730353,0.0201484922249796,0.0312605975482736,0.0860229616779098,-0.0600136569916024,0.0085105903836351,0.008741247373767,0.0214181370142061,0.228656779963324,-0.0569982400986604,0.0171771628546031,-0.0139813898714683,0.0122727582572155,0.399239801244024,-0.0829064427857423,0.0228838211175706,0.0080733728603518,0.0169013802278012,0.185814313954412,-0.0807142858145475,0.0187398669272281,-0.0117572782731251,0.011041059994591,0.313070736278687
pair 7,0.0345133835930844,0.0972599339333256,-0.0026086709329705,-0.0052536830392687,0.31184777097489,0.0414924324720381,0.0930839056639561,-0.0034022904875895,-0.0068216750634509,0.228185691463503,0.0627680206051204,0.0699713844899818,0.0012227920282098,-0.0005422116466145,0.315581106386977,-0.0320889921461536,0.14527498955268,0.0001106975225692,-0.0014418455759279,0.517561687482638,0.057360601367981,0.0876240546958453,-0.0020165432883469,-0.0050848984547276,0.367253191271933,0.0619691300252353,0.0606691547214835,6.59524925325587e-05,-0.0081283200705916,0.239318984880092,0.050262937938085,0.0851496088199325,-0.0085080118719772,-0.0061058560746027,0.426838063426674,0.0560956728858968,0.0855326810384685,-0.0034482494203605,-0.0116240848836053,0.321094589372389
pair 8,-0.0183944167325569,-0.0033421080919887,-0.0018851606656718,-0.0001895483437909,0.568624703979876,-0.0166066682195474,0.0114450822689973,0.006675994221151,-0.005264269057058,0.583913991696988,-0.0133379378916794,0.0134472821184958,0.0113490300906371,0.0072348245276317,0.419049047684645,-0.0212481510265823,-0.0078701291780539,0.0011849049985703,-0.0014217035075212,0.557411428592463,-0.0122926146530411,0.0055194060690672,0.0171836712475889,-0.000594562208697,0.614359365893368,-0.0174975938510857,0.0160364814824503,0.0197054831829745,-0.0042220675616116,0.661145104287171,-0.0111984017606877,0.0163494573973543,0.019919899628412,-0.0074908688635103,0.54509799901787,-0.0176179251613698,0.0077092176424234,0.0139760435451294,-0.0105280738011175,0.611653849313126
pair 9,0.0570613760859537,-0.0141577039169737,-0.0348211291814979,-0.0037176579588583,-0.113395332489933,0.0208263626709231,-0.0230698481686268,-0.0134295964319404,0.0028245171924842,-0.149307850088681,0.0672539574940152,0.0489284485869538,0.0092636448197635,0.0186152934190307,0.0385510228275102,0.0542107746038409,0.0010247022579662,-0.0265883236994539,0.0026189285318527,-0.0431683999989969,0.0636558825031927,-0.0146062100163271,-0.0309863909052156,-0.006107806969102,-0.175434487049311,0.0208742595026399,-0.0203297114377572,-0.0107377578841628,0.0048961796367361,-0.250948373810282,0.0498718015118554,-0.0136147606336256,-0.0179350505081202,0.0016288660843507,-0.0946634465998012,0.0332464480970475,-0.0215415323413645,-0.0178637427143549,0.0057786170293817,-0.136918874673939
pair 10,0.0531405204497667,0.01274368318287,-0.0175819592003265,-0.0059273799627555,-0.342618492550539,0.0861403860683352,0.0159732563082433,-0.0090302571170906,-0.0162722607468543,-0.304037003418626,0.018987869712835,0.0284896435252813,-0.016039936876135,-0.0020081757915379,-0.306139476742391,0.0368504793709533,0.0185357609520185,-0.0098831772851201,0.0015086889374773,-0.365084071569408,0.0546977338524156,0.0211415553454573,-0.0055051355021651,0.0003729991991086,-0.354420952666327,0.0575465599673603,0.002399606506251,-0.0088008027318391,-0.005786247134841,-0.334038872281804,0.032830278260207,-0.015530322086548,-0.021785672296436,-0.0035618017209241,-0.356014825120181,0.0254134436595346,-0.0350206897376953,-0.0109335770419328,0.0001734011914465,-0.327485383791543
pair 11,0.048368637175357,0.0254887364182661,0.0034553633396956,0.0377381186053257,-0.57289604455408,0.0426659274558624,0.0091169039231997,-0.0083357435416271,0.0347339541270145,-0.422760951203696,-0.0216024750123507,0.0335709886466592,-0.0350048757051674,0.0186021204985472,-0.461202044732814,-0.011388350478248,0.0246473433449251,-0.0090987835231026,0.0188012913097866,-0.603830208487575,0.0297120581333103,0.0178686831004794,0.0137189924065193,0.025870926178733,-0.623897335973222,0.0554051013464805,0.009110026536729,-0.0033696554586651,0.0263170615710258,-0.584944668652991,0.0225540251062383,0.0338778438518628,0.0218725273103843,0.0109923222585333,-0.522238932607284,0.0369276964593892,0.0108057161618672,0.0115674826141685,0.0134265417053804,-0.456708057521188
pair 12,-0.0108326263602635,0.0194663526815473,-0.0088086733498314,0.0057601788449537,-0.0805896588768328,0.0049904164999618,0.0280810013758501,-0.0046172648644232,0.0107733797401147,-0.0880416816437277,-0.0270956262168444,-0.0033465969994785,0.0022271316880008,0.0173820619504292,-0.101126514442626,-0.0216510203563023,0.015123045507517,-0.0323021458547845,0.0160911378939788,-0.0908807759137035,-0.0089170913834671,0.0228386963458196,-0.0353006202699772,0.0117403040158447,-0.0946439642469776,0.0024754710558214,0.0302876793209625,-0.0162908294912758,0.0113204426070237,-0.104933022878023,-0.008914356982288,0.0135086732872872,-0.0226946078686236,0.0044772225774821,-0.0716190972980609,0.0025423285872633,0.0275648104267006,-0.0194424519686568,0.0003408490079803,-0.0815116480499022
pair 13,-0.0001312884697041,-0.0282436677907917,-0.0355790544479464,-0.0158576612117436,0.0459306682702193,0.005478522037003,-0.009006984857635,-0.0032335254970292,-0.0054519042485027,0.241014926436838,0.0823228156524713,0.0034151747286613,-0.0351980937360888,-0.0121215064136493,0.0976015996131378,0.0512252988404048,-0.0187586645330979,-0.0414681887794599,-0.0189543841294514,0.266090894665762,0.0301411197020959,-0.0286046016281576,-0.0433751548430229,-0.0161625354801874,0.431247081301938,0.0116166751197466,-0.01266920258128,-0.0196840171440475,-0.0128657321578368,0.218089671892791,0.0361795837482145,-0.0129605505732185,-0.0363974707727401,-0.0191691476576695,0.341149069605533,0.0264592895772192,-0.0006227154202671,-0.0229111421710393,-0.0143351096125066,0.0530563600531906
pair 14,0.0156038504350438,-0.0418686909613848,-0.0060379463004921,0.0032145621806691,0.277291734230404,0.0118564561878998,-0.0553265608644382,-0.0086821587705199,-0.0001763189364901,-0.0704284599152426,-0.0237853224476828,0.0442377368748079,-0.0201825013303254,-0.0112843922812632,-0.0868441033246031,-0.0048229625795549,-0.0371602712348601,-0.0015413184103378,-0.0052237930201374,0.0450183755100898,0.0355187973245706,-0.0396248631399969,-0.0032776335393608,-5.025817146429e-05,0.0071436603429468,0.0117365781810359,-0.0520769605229807,-0.0107150330417288,0.00101118235085,-0.104608365828122,0.0079898950562409,-0.0567371764262837,0.0009033061899922,4.34150805247971e-05,0.006458086927864,-0.0018291325016309,-0.0617992854119088,-0.0032958018536809,0.0050611761183802,0.0432404178781209
pair 15,-0.025170231903244,-0.0143810250129789,0.0398200694986094,-0.000977759439688,-0.546146372567782,0.0365398574798785,0.046553745478804,0.0355587250526793,-0.0005457683850721,-0.311591810927502,0.179221007198003,0.0347353087440728,0.0395333703033698,-0.0054129911537602,0.053859144634041,0.0330378382893367,0.0479575057562665,0.0510600698361693,-0.0011514266142701,0.249428047756458,0.0283177544060029,0.0471546268128833,0.0450742349810116,0.0014830428756352,0.30077938086242,0.0794627461561322,0.0478717603770438,0.0403893577438953,0.0067830663819202,0.317859137874822,0.0279772164266569,0.0175031981311019,0.0469781124599945,0.0124541282891129,-0.0315252867745545,0.107955777546714,0.0377422807173766,0.0413086576876255,0.0157778045994981,0.310116173236717
pair 16,0.131421605725602,-0.0076085647908144,-0.0309604869049559,-2.66390436171317e-05,-0.930103011819877,0.0359065398435674,0.0023747744953261,-0.0314501085705283,-0.0133105978568934,-0.925198891350921,0.229712695652912,0.0228435065031139,-0.0269766132941225,0.0214062638068255,-0.118289223806688,0.101065470797475,0.0164644591388495,-0.0138860089096608,0.0086785875085207,0.517147540481831,0.217986358639585,0.0274688504838517,-0.0213676448160592,0.0072064169722667,0.335296997478802,0.0942810804004834,0.0309935481103904,-0.0195348800354926,-0.0045021567780566,-0.964573891553321,0.0572401493223199,-0.001008384816158,-0.0435638435957475,0.0079425327738654,0.0234717145487738,0.0803781291776786,0.0176761095695017,-0.0286343562004571,0.005717047306133,0.378744259767592
pair 17,-0.0245508512130621,0.0084720803703154,-0.0214978746518266,-0.0011894670343802,0.0053237336730624,-0.0331390727202535,0.0102840638640768,-0.0179007282990191,0.0013809775473171,0.0049325338102279,-0.0196703628260545,0.0176481503989944,-0.0334186050855457,-0.0007922988077384,0.0031668363637952,-0.0183075038683974,0.0117164969990036,-0.0157666634044715,-0.0014044849239602,0.0030710114623573,-0.0229739325655742,0.0051275528509158,-0.0144820568455958,0.0005290987865308,0.0030360516124443,-0.031917933517381,0.00719456998368,0.0002218209751536,-0.0004768357303742,0.0018848546933894,-0.0189880555835888,0.0053159193823902,-0.01154271879251,-0.0005378744911197,0.0011531507695919,-0.0267881058799497,0.0009946361559146,0.0053441011147179,-0.0044582218090064,-0.0025392112015596
pair 18,0.0681452247919193,0.0263848847562491,-0.0507977380174824,0.0068065937175129,-0.0071848898141069,0.104863937914337,0.0268951190813334,-0.051866910818884,0.0027514937856949,-0.0091981797226328,0.0719957716517651,0.0330398853064479,-0.0435975862672049,0.0018821946273463,-0.0018358263784261,0.0583257850659658,0.0179383463368718,-0.0393263805664221,0.0053804886058581,0.003431140721693,0.0618501067930357,0.0302828757068639,-0.0451220614673195,0.004107616940661,0.0023618521841656,0.0662586140188774,0.0164896185849384,-0.0507742445051067,0.0023446253494451,0.003119536491868,0.0709680245675946,0.0373860789203325,-0.0430749139102829,0.0081411531201099,-0.0003807533884471,-0.0003762182248816,0.0064135252181885,-0.039829138313669,0.00844689774756,-0.0084409826708248
pair 19,-0.05725834373239,-0.0127417634417996,0.0051719847878144,-0.0172504310465052,-0.476742934237634,-0.0434179447772822,-0.0128856914521878,0.0091455367515296,-0.0157742844443294,-0.51090022246503,-0.0180542739735411,0.0803814869494817,0.0306932909734839,-0.01570738153206,-0.155436242124305,-0.0290625338763408,0.0129537093577928,0.0153033212411097,-0.0133395866578428,-0.419594926297371,-0.0106231976491921,-0.0063397772910304,0.0059642492503096,-0.0135085563189053,-0.50800743433338,-0.0151774958391563,-0.0191628000463871,0.0177615361608964,-0.0171595230399379,-0.377901074611958,-0.0200829157207653,-0.0044660119532312,0.0139963452925289,-0.0112834820865457,-0.400185409613542,0.0166037478570557,-0.0229617235478018,0.0001975455858452,-0.0106180817494703,-0.251814057325634
pair 20,0.0279743975771772,0.0489312182218054,0.0158018936878213,0.0052394693874636,-0.525081386376114,-0.0003522148620479,0.0256931523771435,0.0237123085578929,0.0013310939438186,0.918526459592797,0.0669078858906394,0.0709782457732856,0.0014922560075744,-0.0039142014194089,0.7041553055254,0.0394211759768137,0.0590586308111345,0.0100838410857547,0.0116520212479194,0.76094371907913,0.0535237455309559,0.0592534389424116,0.0169289472070778,0.0039487239529111,0.873236991167905,-0.0200125443516437,0.0322794414257038,0.0170345980643708,0.0031106166493321,0.960369265837259,0.0047723948763632,0.0573877171375876,0.0188354294507058,0.0068723050590262,0.829879865031271,-0.0103068599927644,0.0335844510911629,0.0262213069259127,0.0031373361451869,0.952744500914493
pair 21,0.0956691350076762,-0.0080714293581575,-0.0073237935493983,-0.0029619334333187,-0.421294210195145,0.0911944149408844,-0.001500853630242,0.0046204023396764,0.0007068460704559,-0.535195555514984,0.0285162646233801,0.0428877340298403,0.010096554501268,-0.0156106784789103,-0.629979411461047,0.0555597663550344,0.008710577594065,-0.0110515601884256,-0.0103223822905125,-0.507302778579589,0.0718577578481991,0.0028922549344555,0.001930212098656,-0.005742776751971,-0.648159881117708,0.0466467965695972,0.0190102934014317,0.0090824645512397,-0.0082465663453703,-0.608073955901581,0.0153238689634134,-0.0085631603633905,-0.0023623665904846,0.0075943493019339,-0.198480689757701,0.0304195480906153,-0.0004890348188346,0.0026368696249291,0.0084161346177765,-0.570802453763057
pair 22,0.0631313357434072,-0.0139983717298158,0.0225544125358894,-0.0031309514435531,-0.449468754547328,0.0477792107726084,0.0004425365244897,0.0030492062638322,0.002229094795784,-0.422338217475338,0.0610281987863689,0.0121665324475121,-0.0296104019589752,0.0084808379625161,-0.477453359699328,0.0567816593278234,0.0006082588723108,0.0053673409295921,0.0076514709542924,-0.449559528802381,0.0744201772224817,0.0044014317085235,0.0134488784048361,0.003475478873626,-0.507778335888162,0.0875264902210858,0.0038911343942913,-0.0042731878230379,0.0050909424350807,-0.430778592578342,0.106126528029681,0.0183831157992048,-0.0003216005222423,-0.0024001565853921,-0.54328486111508,0.120923977272175,0.0246528369313898,-0.004786900907415,0.0010442223454615,-0.438235710813273
